customer_key,customer_id,customer_number,first_name,last_name,gender,country,marital_status,birthdate,create_date
83,11082,AW00011082,Angela,Butler,Female,United States,Single,1972-02-01,2025-10-07
84,11083,AW00011083,Alyssa,Cox,Female,United States,Married,1977-03-11,2025-10-07
85,11084,AW00011084,Lucas,Phillips,Male,United States,Single,1963-03-12,2025-10-07
86,11085,AW00011085,Emily,Johnson,Female,United States,Single,1963-01-16,2025-10-07
87,11086,AW00011086,Ryan,Brown,Male,United States,Married,1963-06-22,2025-10-07
88,11087,AW00011087,Tamara,Liang,Female,United States,Married,1963-04-02,2025-10-07
89,11088,AW00011088,Hunter,Davis,Male,United States,Married,1963-05-25,2025-10-07
90,11089,AW00011089,Abigail,Price,Female,United States,Single,1962-08-05,2025-10-07
91,11090,AW00011090,Trevor,Bryant,Male,United States,Single,1968-12-13,2025-10-07
92,11091,AW00011091,Dalton,Perez,Male,Canada,Married,1962-10-02,2025-10-07
93,11092,AW00011092,Cheryl,Diaz,Female,Australia,Married,1972-11-02,2025-10-07
94,11093,AW00011093,Aimee,He,Female,Australia,Married,1978-09-06,2025-10-07
95,11094,AW00011094,Cedric,Ma,Male,Australia,Single,1967-09-29,2025-10-07
96,11095,AW00011095,Chad,Kumar,Male,Australia,Single,1968-02-29,2025-10-07
97,11096,AW00011096,Andr├⌐s,Anand,Male,Australia,Married,1968-02-07,2025-10-07
98,11097,AW00011097,Edwin,Nara,Male,Australia,Married,1972-10-23,2025-10-07
99,11098,AW00011098,Mallory,Rubio,Female,Australia,Single,1966-10-29,2025-10-07
100,11099,AW00011099,Adam,Ross,Male,Australia,Married,1966-09-05,2025-10-07
101,11100,AW00011100,Latasha,Navarro,Female,Australia,Single,1966-03-15,2025-10-07
102,11101,AW00011101,Abby,Sai,Female,Australia,Single,1970-11-05,2025-10-07
103,11102,AW00011102,Julia,Nelson,Female,Australia,Single,1970-10-19,2025-10-07
104,11103,AW00011103,Cassie,Chande,Female,Australia,Single,1981-04-12,2025-10-07
105,11104,AW00011104,Edgar,Sara,Male,Australia,Married,1975-03-08,2025-10-07
106,11105,AW00011105,Candace,Fernandez,Female,Australia,Single,1970-06-27,2025-10-07
107,11106,AW00011106,Jessie,Liu,Male,Australia,Single,1970-03-11,2025-10-07
108,11107,AW00011107,Bianca,Lin,Female,Australia,Married,1976-03-04,2025-10-07
109,11108,AW00011108,Kari,Alvarez,Female,Australia,Single,1969-01-10,2025-10-07
110,11109,AW00011109,Ruben,Kapoor,Male,Australia,Single,1980-04-30,2025-10-07
111,11110,AW00011110,Curtis,Yang,Male,Australia,Married,1967-12-04,2025-10-07
112,11111,AW00011111,Meredith,Gutierrez,Female,Australia,Married,1967-08-23,2025-10-07
113,11112,AW00011112,Crystal,Wang,Female,Australia,Married,1968-03-08,2025-10-07
114,11113,AW00011113,Micheal,Blanco,Male,Australia,Married,1973-02-17,2025-10-07
115,11114,AW00011114,Leslie,Moreno,Female,Australia,Single,1967-11-25,2025-10-07
116,11115,AW00011115,Alvin,Cai,Male,Australia,Married,1967-08-12,2025-10-07
117,11116,AW00011116,Clinton,Carlson,Male,Australia,Married,1979-04-02,2025-10-07
118,11117,AW00011117,April,Deng,Female,Australia,Married,1966-08-21,2025-10-07
119,11118,AW00011118,Alvin,Zeng,Male,Australia,Single,1962-12-31,2025-10-07
120,11119,AW00011119,Evan,James,Male,Australia,Single,1940-10-07,2025-10-07
121,11120,AW00011120,Beth,Jim├⌐nez,Female,Australia,Single,1942-02-06,2025-10-07
122,11121,AW00011121,Orlando,Suarez,Male,Australia,Married,1966-05-18,2025-10-07
123,11122,AW00011122,Byron,Vazquez,Male,Australia,Married,1965-09-30,2025-10-07
124,11123,AW00011123,Philip,Alvarez,Male,Australia,Married,1965-12-18,2025-10-07
125,11124,AW00011124,Ross,Jordan,Male,Australia,Single,1968-07-23,2025-10-07
126,11125,AW00011125,Dana,Navarro,Female,Australia,Single,1961-10-06,2025-10-07
127,11126,AW00011126,Shaun,Carson,Male,Australia,Married,1954-10-05,2025-10-07
128,11127,AW00011127,Jan,Edwards,Female,United States,Married,1981-04-19,2025-10-07
129,11128,AW00011128,Samantha,Long,Female,United States,Married,1981-06-03,2025-10-07
130,11129,AW00011129,Julia,Wright,Female,United States,Single,1981-02-01,2025-10-07
131,11130,AW00011130,Caroline,Russell,Female,United States,Married,1985-07-05,2025-10-07
132,11131,AW00011131,Amanda,Rivera,Female,Canada,Married,1985-09-09,2025-10-07
133,11132,AW00011132,Melissa,Richardson,Female,Canada,Single,1986-04-25,2025-10-07
134,11133,AW00011133,Angela,Griffin,Female,United States,Single,1986-03-08,2025-10-07
135,11134,AW00011134,Larry,Townsend,Male,Australia,Single,1957-02-22,2025-10-07
136,11135,AW00011135,Marcus,Harris,Male,United States,Single,1985-05-02,2025-10-07
137,11136,AW00011136,Brianna,Morgan,Female,Canada,Single,1984-04-24,2025-10-07
138,11137,AW00011137,Jasmine,Taylor,Female,United States,Married,1984-01-17,2025-10-07
139,11138,AW00011138,Lauren,Davis,Female,United States,Married,1984-03-14,2025-10-07
140,11139,AW00011139,Tanya,Moreno,Female,Australia,Single,1949-11-05,2025-10-07
141,11140,AW00011140,Javier,Alvarez,Male,United States,Single,1982-08-11,2025-10-07
142,11141,AW00011141,Nicole,Ramirez,Female,United States,Married,1982-12-19,2025-10-07
143,11142,AW00011142,Eduardo,Patterson,Male,Canada,Single,1983-02-11,2025-10-07
144,11143,AW00011143,Jonathan,Henderson,Male,United States,Married,1982-08-04,2025-10-07
145,11144,AW00011144,Edward,Hernandez,Male,United States,Single,1985-03-08,2025-10-07
146,11145,AW00011145,Jasmine,Coleman,Female,United States,Single,1985-06-06,2025-10-07
147,11146,AW00011146,Karla,Goel,Female,Australia,Single,1945-02-22,2025-10-07
148,11147,AW00011147,Ernest,Wu,Male,Australia,Married,1944-08-04,2025-10-07
149,11148,AW00011148,Ross,Vazquez,Male,Australia,Married,1947-02-13,2025-10-07
150,11149,AW00011149,Theodore,Gill,Male,Australia,Married,1946-10-18,2025-10-07
151,11150,AW00011150,Russell,Shen,Male,Australia,Single,1946-09-12,2025-10-07
152,11151,AW00011151,Melinda,Gill,Female,Australia,Single,1947-08-25,2025-10-07
153,11152,AW00011152,James,Williams,Male,United States,Single,1981-07-09,2025-10-07
154,11153,AW00011153,Angela,James,Female,United States,Married,1981-12-21,2025-10-07
155,11154,AW00011154,Megan,Walker,Female,United States,Single,1982-02-18,2025-10-07
156,11155,AW00011155,Hunter,Robinson,Male,United States,Single,1981-07-25,2025-10-07
157,11156,AW00011156,Maria,Roberts,Female,United States,Single,1981-08-06,2025-10-07
158,11157,AW00011157,Hannah,Long,Female,United States,Married,1980-12-08,2025-10-07
159,11158,AW00011158,Jason,Wright,Male,United States,Single,1981-04-06,2025-10-07
160,11159,AW00011159,Brianna,Hughes,Female,United States,Single,1981-03-16,2025-10-07
161,11160,AW00011160,Maurice,Tang,Male,United States,Single,1979-07-08,2025-10-07
162,11161,AW00011161,Emily,Wood,Female,United States,Single,1979-10-20,2025-10-07
163,11162,AW00011162,Chase,Cox,Male,United States,Single,1979-09-02,2025-10-07
164,11163,AW00011163,Gabriel,Wang,Male,United States,Married,1980-06-18,2025-10-07
165,11164,AW00011164,Devin,Brooks,Male,United States,Single,1979-11-02,2025-10-07
166,11165,AW00011165,Jocelyn,Alexander,Female,United States,Married,1979-01-15,2025-10-07
167,11166,AW00011166,Ashley,Martinez,Female,United States,Single,1977-10-22,2025-10-07
168,11167,AW00011167,Jasmine,Barnes,Female,United States,Single,1978-01-29,2025-10-07
169,11168,AW00011168,David,Rodriguez,Male,United States,Single,1973-11-12,2025-10-07
170,11169,AW00011169,Bryce,Richardson,Male,United States,Married,1973-12-20,2025-10-07
171,11170,AW00011170,Carol,Howard,Female,United States,Married,1973-08-04,2025-10-07
172,11171,AW00011171,Jonathan,Hill,Male,United States,Single,1978-10-05,2025-10-07
173,11172,AW00011172,Gabrielle,Adams,Female,United States,Married,1973-05-20,2025-10-07
174,11173,AW00011173,Sarah,Thomas,Female,United States,Single,1973-02-28,2025-10-07
175,11174,AW00011174,Nicholas,Robinson,Male,United States,Married,1973-01-09,2025-10-07
176,11175,AW00011175,Luis,Wang,Male,United States,Single,1968-09-01,2025-10-07
177,11176,AW00011176,Mason,Roberts,Male,Canada,Married,1979-01-21,2025-10-07
178,11177,AW00011177,Jose,Flores,Male,United States,Married,1948-01-01,2025-10-07
179,11178,AW00011178,Nathan,Johnson,Male,United States,Married,1954-08-20,2025-10-07
180,11179,AW00011179,Molly,Rodriguez,Female,United States,Married,1959-12-08,2025-10-07
181,11180,AW00011180,April,Anand,Female,United States,Married,1948-07-01,2025-10-07
182,11181,AW00011181,Devin,Martin,Male,United States,Married,1960-02-01,2025-10-07
183,11182,AW00011182,Stephanie,Torres,Female,United States,Single,1950-02-22,2025-10-07
184,11183,AW00011183,Jasmine,Lee,Female,United States,Single,1950-01-12,2025-10-07
185,11184,AW00011184,Meghan,Hernandez,Female,United States,Single,1955-11-13,2025-10-07
186,11185,AW00011185,Ashley,Henderson,Female,Canada,Single,1950-04-07,2025-10-07
187,11186,AW00011186,Sarah,Price,Female,United States,Single,1949-11-18,2025-10-07
188,11187,AW00011187,Jennifer,Cooper,Female,United States,Married,1949-08-21,2025-10-07
189,11188,AW00011188,Catherine,Morris,Female,United States,Married,1950-03-06,2025-10-07
190,11189,AW00011189,Lawrence,Blanco,Male,United States,Single,1950-01-12,2025-10-07
191,11190,AW00011190,Carson,Bryant,Male,United States,Married,1949-12-20,2025-10-07
192,11191,AW00011191,Kristi,Perez,Female,United States,Single,1951-06-17,2025-10-07
193,11192,AW00011192,James,Brown,Male,United States,Married,1951-03-13,2025-10-07
194,11193,AW00011193,Ian,Gray,Male,United States,Married,1950-08-13,2025-10-07
195,11194,AW00011194,Jacqueline,Price,Female,United States,Married,1950-12-08,2025-10-07
196,11195,AW00011195,Megan,Henderson,Female,United States,Married,1951-08-10,2025-10-07
197,11196,AW00011196,Alfredo,Romero,Male,United States,Married,1951-12-05,2025-10-07
198,11197,AW00011197,Andrea,Morris,Female,United States,Married,1951-12-16,2025-10-08
199,11198,AW00011198,Brooke,Sanders,Female,United States,Single,1952-05-25,2025-10-08
200,11199,AW00011199,Jacqueline,Bennett,Female,United States,Married,1957-11-02,2025-10-08
201,11200,AW00011200,Jason,Griffin,Male,Canada,Married,1953-05-21,2025-10-08
202,11201,AW00011201,Amanda,Foster,Female,United States,Married,1953-02-14,2025-10-08
203,11202,AW00011202,Alexia,Price,Female,United States,Married,1958-08-22,2025-10-08
204,11203,AW00011203,Luis,Diaz,Male,Canada,Married,1959-08-18,2025-10-08
205,11204,AW00011204,Destiny,Rivera,Female,United States,Married,1953-11-29,2025-10-08
206,11205,AW00011205,Abby,Fernandez,Female,United States,Married,1954-01-21,2025-10-08
207,11206,AW00011206,Blake,Flores,Male,United States,Married,1954-03-24,2025-10-08
208,11207,AW00011207,Danielle,Cox,Female,United States,Single,1954-01-16,2025-10-08
209,11208,AW00011208,Maria,Reed,Female,United States,Married,1953-08-03,2025-10-08
210,11209,AW00011209,Allison,Evans,Female,United States,Married,1953-07-12,2025-10-08
211,11210,AW00011210,Edward,Wood,Male,United States,Married,1953-12-06,2025-10-08
212,11211,AW00011211,Samantha,Russell,Female,Canada,Married,1960-10-08,2025-10-08
213,11212,AW00011212,Chloe,Campbell,Female,Canada,Married,1955-05-05,2025-10-08
214,11213,AW00011213,Stephanie,Murphy,Female,United States,Single,1954-11-11,2025-10-08
215,11214,AW00011214,Charles,Miller,Male,United States,Single,1955-05-07,2025-10-08
216,11215,AW00011215,Ana,Perry,Female,Canada,Married,1961-06-17,2025-10-08
217,11216,AW00011216,Jasmine,Torres,Female,United States,Single,1955-11-17,2025-10-08
218,11217,AW00011217,Natalie,Adams,Female,United States,Single,1955-08-11,2025-10-08
219,11218,AW00011218,Olivia,Brown,Female,United States,Single,1961-09-07,2025-10-08
220,11219,AW00011219,Charles,Cook,Male,United States,Married,1956-05-31,2025-10-08
221,11220,AW00011220,Erica,Huang,Female,United States,Married,1961-02-19,2025-10-08
222,11221,AW00011221,Nathan,Perry,Male,United States,Married,1955-12-08,2025-10-08
223,11222,AW00011222,Alexandra,Rivera,Female,United States,Married,1956-02-14,2025-10-08
224,11223,AW00011223,Hailey,Patterson,Female,Canada,Single,1957-03-15,2025-10-08
225,11224,AW00011224,Tiffany,Li,Female,United States,Single,1957-03-05,2025-10-08
226,11225,AW00011225,Madison,Lee,Female,United States,Married,1962-02-12,2025-10-08
227,11226,AW00011226,Sydney,Ross,Female,United States,Married,1962-09-23,2025-10-08
228,11227,AW00011227,Marshall,Chavez,Male,United States,Single,1962-08-08,2025-10-08
229,11228,AW00011228,Ashley,Jones,Female,United States,Married,1956-10-16,2025-10-08
230,11229,AW00011229,Adrian,Stewart,Male,United States,Single,1957-06-01,2025-10-08
231,11230,AW00011230,Amber,Turner,Female,United States,Married,1956-09-30,2025-10-08
232,11231,AW00011231,Dennis,Zhang,Male,United States,Married,1963-11-11,2025-10-08
233,11232,AW00011232,Hailey,Bryant,Female,United States,Married,1958-03-27,2025-10-08
234,11233,AW00011233,Todd,Li,Male,United States,Married,1963-09-06,2025-10-08
235,11234,AW00011234,Anna,Griffin,Female,United States,Single,1958-05-19,2025-10-08
236,11235,AW00011235,Angel,Stewart,Male,United States,Married,1957-08-07,2025-10-08
237,11236,AW00011236,Jeremy,Butler,Male,United States,Single,1957-09-02,2025-10-08
238,11237,AW00011237,Clarence,Anand,Male,Germany,Single,1964-03-22,2025-10-08
239,11238,AW00011238,Mayra,Prasad,Female,United Kingdom,Single,1964-02-07,2025-10-08
240,11239,AW00011239,Latoya,Goel,Female,United Kingdom,Married,1969-10-02,2025-10-08
241,11240,AW00011240,Anne,Hernandez,Female,United Kingdom,Married,1964-06-09,2025-10-08
242,11241,AW00011241,Lisa,Cai,Female,France,Single,1974-04-06,2025-10-08
243,11242,AW00011242,Larry,Munoz,Male,France,Married,1963-05-11,2025-10-08
244,11243,AW00011243,Robin,Alvarez,Female,United Kingdom,Married,1963-04-08,2025-10-08
245,11244,AW00011244,Alexis,Coleman,Female,United Kingdom,Single,1968-11-22,2025-10-08
246,11245,AW00011245,Ricky,Vazquez,Male,Germany,Married,1962-04-26,2025-10-08
247,11246,AW00011246,Latasha,Rubio,Female,Germany,Married,1962-04-08,2025-10-08
248,11247,AW00011247,Claudia,Zhou,Female,United Kingdom,Single,1961-12-04,2025-10-08
249,11248,AW00011248,Tristan,Alexander,Male,France,Married,1966-03-22,2025-10-08
250,11249,AW00011249,Cindy,Patel,Female,Germany,Married,1966-07-09,2025-10-08
251,11250,AW00011250,Shannon,Liu,Female,United Kingdom,Married,1966-03-08,2025-10-08
252,11251,AW00011251,Xavier,Long,Male,Canada,Single,1938-01-01,2025-10-08
253,11252,AW00011252,Nicholas,Thompson,Male,United States,Single,1937-12-05,2025-10-08
254,11253,AW00011253,Jos├⌐,Hernandez,Male,Canada,Married,1949-08-24,2025-10-08
255,11254,AW00011254,Johnathan,Vance,Male,United States,Married,1938-08-31,2025-10-08
256,11255,AW00011255,Colin,Lin,Male,United States,Married,1938-10-02,2025-10-08
257,11256,AW00011256,Katelyn,Hernandez,Female,United States,Married,1939-03-20,2025-10-08
258,11257,AW00011257,Jacqueline,Powell,Female,United States,Single,NULL,2025-10-08
259,11258,AW00011258,Xavier,Hill,Male,United States,Married,1938-12-26,2025-10-08
260,11259,AW00011259,Victoria,Stewart,Female,United States,Married,1970-09-24,2025-10-08
261,11260,AW00011260,Katelyn,Kelly,Female,United States,Married,1976-04-08,2025-10-08
262,11261,AW00011261,Stephanie,Collins,Female,United States,Married,1970-10-22,2025-10-08
263,11262,AW00011262,Jennifer,Simmons,Female,Canada,Married,1975-05-01,2025-10-08
264,11263,AW00011263,Trinity,Richardson,Female,United States,Married,1970-03-11,2025-10-08
265,11264,AW00011264,Eduardo,Martin,Male,United States,Single,1969-12-15,2025-10-08
266,11265,AW00011265,Elizabeth,Jones,Female,United States,Married,1970-01-10,2025-10-08
267,11266,AW00011266,Taylor,Howard,Female,United States,Single,1969-11-02,2025-10-08
268,11267,AW00011267,David,Diaz,Male,United States,Single,1975-09-29,2025-10-08
269,11268,AW00011268,Katelyn,Carter,Female,United States,Married,1969-10-31,2025-10-08
270,11269,AW00011269,Ryan,Foster,Male,United States,Married,1975-10-10,2025-10-08
271,11270,AW00011270,Robert,Lee,Male,United States,Married,1975-05-01,2025-10-08
272,11271,AW00011271,Danielle,Reed,Female,United States,Single,1969-12-03,2025-10-08
273,11272,AW00011272,Lauren,Martinez,Female,United States,Single,1962-05-10,2025-10-08
274,11273,AW00011273,Nathan,Lal,Male,United States,Married,1962-03-31,2025-10-08
275,11274,AW00011274,Kyle,Foster,Male,United States,Married,1939-10-10,2025-10-08
276,11275,AW00011275,Jenny,Rai,Female,United States,Married,1939-07-18,2025-10-08
277,11276,AW00011276,Nancy,Chapman,Female,Canada,Married,1974-09-15,2025-10-08
278,11277,AW00011277,Charles,Jackson,Male,Canada,Married,1968-12-07,2025-10-08
279,11278,AW00011278,Jonathan,Phillips,Male,United States,Single,1969-02-16,2025-10-08
280,11279,AW00011279,Amanda,Cook,Female,United States,Married,1974-09-08,2025-10-08
281,11280,AW00011280,Robert,Collins,Male,United States,Married,1969-02-17,2025-10-08
282,11281,AW00011281,Megan,Barnes,Female,United States,Single,1974-10-06,2025-10-08
283,11282,AW00011282,Christian,Thomas,Male,United States,Married,1967-07-16,2025-10-08
284,11283,AW00011283,Arturo,Lal,Male,United States,Married,1968-04-24,2025-10-08
285,11284,AW00011284,Theresa,Serrano,Female,United States,Married,1967-09-24,2025-10-08
286,11285,AW00011285,Jeremy,Anderson,Male,United States,Married,1973-03-15,2025-10-08
287,11286,AW00011286,Hunter,Griffin,Male,United States,Married,1967-08-31,2025-10-08
288,11287,AW00011287,Henry,Garcia,Male,Canada,Married,1966-07-16,2025-10-08
289,11288,AW00011288,Cindy,Sanchez,Female,United States,Married,1978-03-12,2025-10-08
290,11289,AW00011289,Maria,Carter,Female,United States,Married,1972-03-03,2025-10-08
291,11290,AW00011290,Katelyn,Sanchez,Female,United States,Married,1972-08-14,2025-10-08
292,11291,AW00011291,Jenna,Wright,Female,United States,Married,1972-05-01,2025-10-08
293,11292,AW00011292,Seth,Phillips,Male,United States,Single,1967-05-05,2025-10-08
294,11293,AW00011293,Luke,Long,Male,United States,Single,1960-11-23,2025-10-08
295,11294,AW00011294,Dalton,Clark,Male,United States,Married,1961-03-02,2025-10-08
296,11295,AW00011295,Taylor,Lewis,Female,United States,Single,1959-11-13,2025-10-08
297,11296,AW00011296,Haley,Richardson,Female,United States,Single,1941-04-05,2025-10-08
298,11297,AW00011297,Noah,Coleman,Male,United States,Single,1940-08-01,2025-10-08
299,11298,AW00011298,Jon,Luo,Male,United States,Married,1940-08-30,2025-10-08
300,11299,AW00011299,Orlando,Vazquez,Male,United States,Married,1941-09-29,2025-10-08
301,11300,AW00011300,Fernando,Barnes,Male,Canada,Married,1965-08-31,2025-10-08
302,11301,AW00011301,Cameron,Rodriguez,Male,United States,Married,1965-12-07,2025-10-08
303,11302,AW00011302,Spencer,Russell,Male,United States,Single,1971-12-09,2025-10-08
304,11303,AW00011303,Julia,Coleman,Female,United States,Single,1966-04-10,2025-10-08
305,11304,AW00011304,Julia,Garcia,Female,United States,Married,1971-03-14,2025-10-08
306,11305,AW00011305,Sean,Evans,Male,United States,Married,1965-12-17,2025-10-08
307,11306,AW00011306,Micah,Zhou,Male,United States,Married,1965-12-20,2025-10-08
308,11307,AW00011307,Hunter,Rodriguez,Male,United States,Married,1965-10-31,2025-10-08
309,11308,AW00011308,Ian,Gonzales,Male,United States,Married,1959-09-02,2025-10-08
310,11309,AW00011309,Victoria,Lewis,Female,United States,Single,1959-12-10,2025-10-08
311,11310,AW00011310,Erin,Sanders,Female,United States,Single,1964-07-05,2025-10-08
312,11311,AW00011311,Gabrielle,Lopez,Female,United States,Single,1959-02-21,2025-10-08
313,11312,AW00011312,Sara,Richardson,Female,United States,Single,1958-10-01,2025-10-08
314,11313,AW00011313,Trevor,Jenkins,Male,United States,Single,1958-08-27,2025-10-08
315,11314,AW00011314,Mya,Flores,Female,United States,Single,1970-06-16,2025-10-08
316,11315,AW00011315,Hailey,Ward,Female,United States,Single,1959-03-31,2025-10-08
317,11316,AW00011316,Luke,Allen,Male,Canada,Married,1959-05-17,2025-10-08
